Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://collector-pxikkul2rm.px-cloud.net/api/v2/collector,105,178,84,854,123.65,0.00%,0.47582,0.29,5.04,625.7
https://accommodations.booking.com/autocomplete.json,15,375,117,495,104.09,0.00%,0.1077,0.06,0.05,525
https://www.booking.com/js_tracking?ref_action=index&ver=2&stype=1&lang=en-gb&pid=c5c38181613d00fb&ete=&etg=www_index_search_button_click&etcg=&ets=&etgwv=,15,222,103,389,128.44,0.00%,0.10668,0.07,0.09,717
https://www.booking.com/searchresults.en-gb.html?ss=amman&efdco=1&label=ar-jo-booking-desktop-ZVye8ECeu3oLbr3gTSBf6AS652829001499%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069822%3Ali%3Adec%3Adm&aid=2311236&lang=en-gb&sb=1&src_elem=sb&src=index&dest_id=-970362&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=en&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=c5c38181613d00fb&ac_meta=GhBjNWMzODE4MTYxM2QwMGZiIAAoATICZW46BWFtbWFuQABKAFAA&checkin=2023-06-01&checkout=2023-06-05&group_adults=4&no_rooms=1&group_children=0&sb_travel_purpose=leisure,15,9365,5610,12849,2153.61,100.00%,0.09976,856.77,5.56,8794314.7
https://www.booking.com/c360/v1/track,75,219,162,706,88.52,0.00%,0.36669,0.39,0.98,1100.9
https://www.booking.com/87sduif98q3rijax?d=www.booking.com,30,163,103,442,96.13,0.00%,0.15841,0.16,0.25,1059
https://www.booking.com/sendlayoutevents,30,126,104,156,12.09,100.00%,0.15167,0.1,0.57,645
https://www.booking.com/dml/graphql?ss=amman&efdco=1&label=ar-jo-booking-desktop-ZVye8ECeu3oLbr3gTSBf6AS652829001499%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069822%3Ali%3Adec%3Adm&aid=2311236&lang=en-gb&sb=1&src_elem=sb&src=index&dest_id=-970362&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=en&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=c5c38181613d00fb&ac_meta=GhBjNWMzODE4MTYxM2QwMGZiIAAoATICZW46BWFtbWFuQABKAFAA&checkin=2023-06-01&checkout=2023-06-05&group_adults=4&no_rooms=1&group_children=0&sb_travel_purpose=leisure,30,158,134,199,15.62,100.00%,0.2028,0.19,0.41,954.5
https://www.booking.com/fl/exposed,30,199,172,244,19.56,0.00%,0.15441,0.2,0.57,1315.8
https://accounts.google.com/gsi/status?client_id=901905703382-m88jn1h9ll89odkt6t5muc6h7ep83rlh.apps.googleusercontent.com&as=VKLXyPAWMgyVYAdK1K0A5g,15,236,98,398,103.71,100.00%,0.10246,0.28,0.06,2782
https://gtm-mktg.booking.com/g/collect?v=2&tid=G-A12345&gtm=45je35h0&_p=378355391&gcs=G1--&cid=1359512495.1684688971&ul=en-us&sr=1536x864&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B113.0.5672.127%7CChromium%3B113.0.5672.127%7CNot-A.Brand%3B24.0.0.0&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&sst.uc=JO&sst.rnd=1116490805.1684693547&sst.gcd=G1--&_s=1&sid=1684693507&sct=2&seg=1&dl=https%3A%2F%2Fwww.booking.com%2Fsearchresults.en-gb.html%3Fss%3Damman%26efdco%3D1%26label%3Dar-jo-booking-desktop-ZVye8ECeu3oLbr3gTSBf6AS652829001499%253Apl%253Ata%253Ap1%253Ap2%253Aac%253Aap%253Aneg%253Afi%253Atikwd-65526620%253Alp9069822%253Ali%253Adec%253Adm%26aid%3D2311236%26lang%3Den-gb%26sb%3D1%26src_elem%3Dsb%26src%3Dindex%26dest_id%3D-970362%26dest_type%3Dcity%26ac_position%3D0%26ac_click_type%3Db%26ac_langcode%3Den%26ac_suggestion_list_length%3D5%26search_selected%3Dtrue%26search_pageview_id%3Dc5c38181613d00fb%26ac_meta%3DGhBjNWMzODE4MTYxM2QwMGZiIAAoATICZW46BWFtbWFuQABKAFAA%26checkin%3D2023-06-01%26checkout%3D2023-06-05%26group_adults%3D4%26no_rooms%3D1%26group_children%3D0%26sb_travel_purpose%3Dleisure&dr=https%3A%2F%2Fwww.booking.com%2Findex.en-gb.html%3Faid%3D2311236%253Blabel%253Dar-jo-booking-desktop-ZVye8ECeu3oLbr3gTSBf6AS652829001499%253Apl%253Ata%253Ap1%253Ap2%253Aac%253Aap%253Aneg%253Afi%253Atikwd-65526620%253Alp9069822%253Ali%253Adec%253Adm%253Bws%253D%26gclid%3DEAIaIQobChMIh9XRu_OG_wIVy4uDBx0A7wjYEAAYASAAEgLOJvD_BwE%26lang%3Den-gb%26soz%3D1%26lang_changed%3D1&dt=Booking.com%20%3A%20Hotels%20in%20Amman%20.%20Book%20your%20hotel%20now!&en=page_view&ep.is_aid_mcc_level_tracked=&ep.cd_action=searchresults&ep.n_b=&richsstsse,15,15706,89,21424,9415.43,73.33%,0.08815,0.03,0.21,396
https://ct.pinterest.com/user/?tid=2612859132799&pd=%7B%22np%22%3A%22gtm%22%2C%22em%22%3A%221bad6b8cf97131fceab8543e81f7757195fbb1d36b376ee994ad1cf17699c464%22%2C%22pin_unauth%22%3A%22dWlkPU9EaGxPR1JpWW1ZdE1XWTVOUzAwT0RabExUaGtOREl0TkdVNFpUSTJNVGxqWkdKaQ%22%7D&cb=1684693547442&dep=2%2CPAGE_LOAD,15,251,158,391,70.97,0.00%,0.10001,0.12,0.07,1234.3
https://ct.pinterest.com/user/?event=search&ed=%7B%22np%22%3A%22gtm%22%7D&tid=2612859132799&cb=1684693547444&dep=5%2CEVENT_TAGS_ABSENT,15,164,147,187,12.12,0.00%,0.0995,0.12,0.05,1234.3
https://www.booking.com/hotel/jo/the-paris-square-house.en-gb.html?label=ar-jo-booking-desktop-ZVye8ECeu3oLbr3gTSBf6AS652829001499%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069822%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-06-01&checkout=2023-06-05&dest_id=-970362&dest_type=city&group_adults=4&req_adults=4&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=74918193e4d90102&srepoch=1684693544&all_sr_blocks=1002717501_373060864_7_0_0&highlighted_blocks=1002717501_373060864_7_0_0&matching_block_id=1002717501_373060864_7_0_0&sr_pri_blocks=1002717501_373060864_7_0_0__36000&map_fdco=1&from=searchresults#hotelTmpl,15,6393,5198,7551,598.81,100.00%,0.09554,164.59,6.1,1764123.3
https://accounts.google.com/gsi/status?client_id=901905703382-m88jn1h9ll89odkt6t5muc6h7ep83rlh.apps.googleusercontent.com&as=V6TtBcdf7paLYRWUkg45oQ,15,175,95,297,65.23,100.00%,0.09755,0.27,0.06,2782
https://www.booking.com/dml/graphql?aid=2311236&label=ar-jo-booking-desktop-ZVye8ECeu3oLbr3gTSBf6AS652829001499%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069822%3Ali%3Adec%3Adm&no_rooms=1&srpvid=74918193e4d90102&highlighted_hotels=10027175&checkin=2023-06-01&redirected=1&city=-970362&hlrd=with_av&group_adults=4&source=hotel&group_children=0&checkout=2023-06-05&keep_landing=1&sid=28408250b09bd3a9b8e76c09b186b9e4&lang=en-gb,45,168,138,514,53.76,100.00%,0.28037,0.26,0.54,947.6
https://gtm-mktg.booking.com/g/collect?v=2&tid=G-A12345&gtm=45je35h0&_p=1813529228&gcs=G1--&cid=1359512495.1684688971&ul=en-us&sr=1536x864&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B113.0.5672.127%7CChromium%3B113.0.5672.127%7CNot-A.Brand%3B24.0.0.0&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&sst.uc=JO&sst.rnd=762981028.1684693558&sst.gcd=G1--&_s=1&sid=1684693507&sct=2&seg=1&dl=https%3A%2F%2Fwww.booking.com%2Fsearchresults.en-gb.html%3Faid%3D2311236%26label%3Dar-jo-booking-desktop-ZVye8ECeu3oLbr3gTSBf6AS652829001499%253Apl%253Ata%253Ap1%253Ap2%253Aac%253Aap%253Aneg%253Afi%253Atikwd-65526620%253Alp9069822%253Ali%253Adec%253Adm%26no_rooms%3D1%26srpvid%3D74918193e4d90102%26highlighted_hotels%3D10027175%26checkin%3D2023-06-01%26redirected%3D1%26city%3D-970362%26hlrd%3Dwith_av%26group_adults%3D4%26source%3Dhotel%26group_children%3D0%26checkout%3D2023-06-05%26keep_landing%3D1%26sid%3D28408250b09bd3a9b8e76c09b186b9e4&dt=Booking.com%20%3A%20Hotels%20in%20Amman%20.%20Book%20your%20hotel%20now!&en=page_view&ep.is_aid_mcc_level_tracked=&ep.cd_action=searchresults&ep.n_b=&richsstsse,15,5779,92,21412,9409.76,26.67%,0.09233,0.04,0.18,396
https://ct.pinterest.com/user/?tid=2612859132799&pd=%7B%22np%22%3A%22gtm%22%2C%22em%22%3A%221bad6b8cf97131fceab8543e81f7757195fbb1d36b376ee994ad1cf17699c464%22%2C%22pin_unauth%22%3A%22dWlkPU9EaGxPR1JpWW1ZdE1XWTVOUzAwT0RabExUaGtOREl0TkdVNFpUSTJNVGxqWkdKaQ%22%7D&cb=1684693558741&dep=2%2CPAGE_LOAD,15,227,165,397,74.36,0.00%,0.09123,0.11,0.06,1218.5
https://ct.pinterest.com/user/?event=search&ed=%7B%22np%22%3A%22gtm%22%7D&tid=2612859132799&cb=1684693558743&dep=5%2CEVENT_TAGS_ABSENT,15,171,149,216,20.66,0.00%,0.09009,0.11,0.05,1218.4
https://www.booking.com/navigation_times,15,315,135,1425,317.09,100.00%,0.08912,0.09,0.16,985.8
Test,15,43530,39167,47459,2461.78,100.00%,0.06557,678.3,16.12,10592603.5
TOTAL,555,2352,84,47459,7864.75,37.84%,2.42617,1356.6,32.23,572573.2
